iter	Passed	Remaining
914	3879	360
915	3883	356
916	3887	351
917	3890	347
918	3894	343
919	3898	339
920	3902	334
921	3906	330
922	3910	326
923	3914	321
924	3917	317
925	3921	313
926	3925	309
927	3929	304
928	3933	300
929	3936	296
930	3957	293
931	3960	288
932	3964	284
933	3968	280
934	3972	276
935	3975	271
936	3979	267
937	3983	263
938	3987	259
939	3991	254
940	3994	250
941	3998	246
942	4002	241
943	4006	237
944	4009	233
945	4013	229
946	4017	224
947	4021	220
948	4025	216
949	4028	212
950	4033	207
951	4036	203
952	4040	199
953	4044	195
954	4052	190
955	4057	186
956	4060	182
957	4065	178
958	4068	173
959	4072	169
960	4076	165
961	4079	161
962	4083	156
963	4087	152
964	4091	148
965	4095	144
966	4098	139
967	4103	135
968	4106	131
969	4110	127
970	4114	122
971	4118	118
972	4122	114
973	4126	110
974	4130	105
975	4134	101
976	4138	97
977	4141	93
978	4145	88
979	4149	84
980	4153	80
981	4157	76
982	4161	71
983	4164	67
984	4169	63
985	4172	59
986	4176	55
987	4180	50
988	4184	46
989	4189	42
990	4194	38
991	4199	33
992	4205	29
993	4209	25
994	4213	21
995	4218	16
996	4222	12
997	4225	8
998	4229	4
999	4233	0
